Master Inventory — Edit Here Only,,,,,,
All edits happen on this tab. The Price List (EN) and Lista de Precios (ES) tabs update automatically.,,,,,,
,,,,,,
Product,Category,Price (USD),Status,Bulk Discount (EN),Bulk Discount (ES),COA URL
Retatrutide 10mg,Weight Loss & Metabolism,$125,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/1K0so0FR_Wu_dFuVFZVZuH2Osx72SOf6T/view?usp=sharing
Retatrutide 12mg,Weight Loss & Metabolism,$135,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://verify.janoshik.com/tests/96496-Retatrutide_12mg_BACTSHBESIDZ
Retatrutide 15mg,Weight Loss & Metabolism,$140,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/1kcwayFqG0Mcpdj9wHv0wW_Bb05pLXphS/view?usp=sharing
Retatrutide 20mg,Weight Loss & Metabolism,$150,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/195tdQyxaR-mkcNe4QA0uEjrzkuwXbWlN/view?usp=sharing
Retatrutide 24mg,Weight Loss & Metabolism,$165,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/1oUKn_Rph9Dnon5f5guzO7U-lWZf92X9d/view?usp=sharing
Retatrutide 30mg,Weight Loss & Metabolism,$180,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/1if3Z0AJuvtLFOIBmkvwUJrAW3-6ojQg9/view?usp=sharing
Retatrutide 40mg,Weight Loss & Metabolism,$210,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://verify.janoshik.com/tests/96498-Retatrutide_40mg_MCC5VFX6GXII
Tirzepatide 10mg,Weight Loss & Metabolism,$165,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",
Tirzepatide 15mg,Weight Loss & Metabolism,$200,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/1PuRYPcSvxaVE91K3G2QpA5A2Q9orisRj/view?usp=sharing
Tirzepatide 20mg,Weight Loss & Metabolism,$220,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/1PuRYPcSvxaVE91K3G2QpA5A2Q9orisRj/view?usp=sharing
Tirzepatide 30mg,Weight Loss & Metabolism,$250,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/1gDgEggnHZgI-66ME6MIqGd1pb2-_Ui7_/view?usp=sharing
Semaglutide 10mg ,Weight Loss & Metabolism,$220,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",
Semaglutide 20mg,Weight Loss & Metabolism,$275,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",
Semaglutide 30mg,Weight Loss & Metabolism,$300,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",
Tesamorelin 10mg,Weight Loss & Metabolism,$100,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/1GGWwXswE2KOZdjSYKYQ__LCdjKHXDCj3/view?usp=sharing
5-amino-1mq 5mg,Weight Loss & Metabolism,$60,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",
"Fat Blaster Amino Blend 10ml — Includes: L-Carnitine 300mg, Methionine 25mg, Inositol 50mg, Choline 50mg, B12 1mg, B6 50mg, NADH 50mg",Weight Loss & Metabolism,$110,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",
Slu-pp332 5mg,Exercise Mimetic & Metabolic Modulator,$80.00,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",
BPC-157 10mg,Recovery & Healing,$90,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://verify.janoshik.com/tests/94973-BPC157_10mg_S64EVVWJIBLE
BPC-157 + TB-500 20mg (Wolverine Stack),Recovery & Healing,$150,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento","https://drive.google.com/file/d/13QUahpzCIOYZrnFgk8xSqL4ewXbCK4tK/view?usp=sharing
https://drive.google.com/file/d/1ZkRuudRS_jGmfWkaZDvYvFu_FJzdEBiD/view?usp=sharing"
TB-4 10mg,Recovery & Healing,$110,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/1iiFFZCQOikzHEJDs7aPSRI2HpsD3xQrf/view?usp=sharing
KLOW 80mg,Recovery & Healing,$180,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/1cAuKeeK_Ftrpi5zQ6mCpwLZ41qfDjnHy/view?usp=sharing
"SUPER Human Amino Blend 10ml — Includes: L-Arginine 110mg, L-Ornithine 110mg, L-Citrulline 120mg, L-Lysine 70mg, L-Glutamine 40mg, L-Proline 60mg, L-Taurine 60mg, L-Carnitine 220mg, NAC 75mg",Recovery & Healing,$100,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",
